"id","topic_name","ltp","received_at"
27693,"index/BANKNIFTY","55398.25","2025-05-23 15:59:20.790059+00"
27685,"index/BANKNIFTY","55398.25","2025-05-23 15:59:20.790059+00"
27691,"index/MIDCPNIFTY","12592.2","2025-05-23 15:59:20.790059+00"
27695,"index/MIDCPNIFTY","12592.2","2025-05-23 15:59:20.790059+00"
27692,"index/NIFTY","24853.15","2025-05-23 15:59:20.790059+00"
27688,"index/NIFTY","24853.15","2025-05-23 15:59:20.790059+00"
27687,"index/NIFTY","24853.15","2025-05-23 15:59:20.790059+00"
27686,"index/MIDCPNIFTY","12592.2","2025-05-23 15:59:20.790059+00"
27684,"index/FINNIFTY","26485.4","2025-05-23 15:59:20.790059+00"
27690,"index/FINNIFTY","26485.4","2025-05-23 15:59:20.790059+00"
27694,"index/FINNIFTY","26485.4","2025-05-23 15:59:20.790059+00"
27689,"index/BANKNIFTY","55398.25","2025-05-23 15:59:20.790059+00"
27701,"index/BANKNIFTY","55398.25","2025-05-23 15:59:26.812716+00"
27698,"index/FINNIFTY","26485.4","2025-05-23 15:59:26.812716+00"
27702,"index/FINNIFTY","26485.4","2025-05-23 15:59:26.812716+00"
27706,"index/FINNIFTY","26485.4","2025-05-23 15:59:26.812716+00"
27699,"index/MIDCPNIFTY","12592.2","2025-05-23 15:59:26.812716+00"
27703,"index/MIDCPNIFTY","12592.2","2025-05-23 15:59:26.812716+00"
27704,"index/NIFTY","24853.15","2025-05-23 15:59:26.812716+00"
27700,"index/NIFTY","24853.15","2025-05-23 15:59:26.812716+00"
27696,"index/NIFTY","24853.15","2025-05-23 15:59:26.812716+00"
27707,"index/MIDCPNIFTY","12592.2","2025-05-23 15:59:26.812716+00"
27697,"index/BANKNIFTY","55398.25","2025-05-23 15:59:26.812716+00"
27705,"index/BANKNIFTY","55398.25","2025-05-23 15:59:26.812716+00"
27710,"index/FINNIFTY","26485.4","2025-05-23 15:59:33.134757+00"
27716,"index/NIFTY","24853.15","2025-05-23 15:59:33.134757+00"
27712,"index/NIFTY","24853.15","2025-05-23 15:59:33.134757+00"
27708,"index/NIFTY","24853.15","2025-05-23 15:59:33.134757+00"
27717,"index/BANKNIFTY","55398.25","2025-05-23 15:59:33.134757+00"
27713,"index/BANKNIFTY","55398.25","2025-05-23 15:59:33.134757+00"
27709,"index/BANKNIFTY","55398.25","2025-05-23 15:59:33.134757+00"
27719,"index/MIDCPNIFTY","12592.2","2025-05-23 15:59:33.134757+00"
27715,"index/MIDCPNIFTY","12592.2","2025-05-23 15:59:33.134757+00"
27711,"index/MIDCPNIFTY","12592.2","2025-05-23 15:59:33.134757+00"
27718,"index/FINNIFTY","26485.4","2025-05-23 15:59:33.134757+00"
27714,"index/FINNIFTY","26485.4","2025-05-23 15:59:33.134757+00"
27727,"index/MIDCPNIFTY","12592.2","2025-05-23 15:59:39.526889+00"
27729,"index/BANKNIFTY","55398.25","2025-05-23 15:59:39.526889+00"
27720,"index/NIFTY","24853.15","2025-05-23 15:59:39.526889+00"
27723,"index/MIDCPNIFTY","12592.2","2025-05-23 15:59:39.526889+00"
27731,"index/MIDCPNIFTY","12592.2","2025-05-23 15:59:39.526889+00"
27721,"index/BANKNIFTY","55398.25","2025-05-23 15:59:39.526889+00"
27730,"index/FINNIFTY","26485.4","2025-05-23 15:59:39.526889+00"
27726,"index/FINNIFTY","26485.4","2025-05-23 15:59:39.526889+00"
27722,"index/FINNIFTY","26485.4","2025-05-23 15:59:39.526889+00"
27724,"index/NIFTY","24853.15","2025-05-23 15:59:39.526889+00"
27728,"index/NIFTY","24853.15","2025-05-23 15:59:39.526889+00"
27725,"index/BANKNIFTY","55398.25","2025-05-23 15:59:39.526889+00"
27735,"index/MIDCPNIFTY","12592.2","2025-05-23 15:59:42.960801+00"
27732,"index/NIFTY","24853.15","2025-05-23 15:59:42.960801+00"
27734,"index/FINNIFTY","26485.4","2025-05-23 15:59:42.960801+00"
27733,"index/BANKNIFTY","55398.25","2025-05-23 15:59:42.960801+00"
